Rk,Player,Pos,Age,Tm,G,MP ▾,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
123,Brandon Bass,PF,29,BOS,78,1840,16.5,.558,.047,.320,7.7,14.9,11.2,8.8,1.0,1.3,9.3,19.5,,3.4,1.6,5.1,.132,,-0.3,-0.4,-0.7,0.6
124,Jordan Hill,C,27,LAL,68,1820,16.3,.496,.011,.223,10.1,23.3,16.5,9.4,1.0,2.3,11.2,22.5,,1.1,1.1,2.3,.060,,-1.9,-0.5,-2.3,-0.2
125,Roy Hibbert,C,28,IND,72,1813,15.3,.499,.003,.292,8.9,21.7,15.4,7.5,0.5,5.2,11.9,21.6,,0.8,3.0,3.8,.101,,-3.2,2.1,-1.1,0.4
126,Aaron Brooks,PG,30,CHI,79,1809,14.3,.535,.383,.217,1.9,7.4,4.7,24.0,1.4,0.6,14.9,25.0,,1.7,1.4,3.1,.082,,1.0,-2.6,-1.6,0.2
127,David West,PF,34,IND,62,1774,16.2,.507,.028,.225,6.4,20.2,13.3,20.1,1.3,2.0,13.5,21.1,,1.3,2.7,4.0,.108,,-0.7,2.4,1.7,1.7
128,Shane Larkin,PG,22,NYK,72,1764,10.8,.499,.277,.172,1.8,9.3,5.5,19.1,2.6,0.4,14.4,13.4,,0.8,0.8,1.6,.043,,-1.5,-0.7,-2.2,-0.1
129,Norris Cole,PG,26,TOT,71,1760,10.5,.478,.319,.149,0.9,9.3,5.2,22.3,1.6,0.5,14.7,17.5,,0.2,1.0,1.1,.030,,-1.7,-1.6,-3.3,-0.6
130,Rodney Stuckey,PG,28,IND,67,1749,15.4,.531,.185,.290,2.2,12.6,7.4,20.2,1.5,0.4,12.7,23.5,,1.7,2.0,3.7,.102,,0.2,-0.3,-0.2,0.8
131,Ed Davis,PF,25,LAL,75,1748,20.0,.604,.000,.409,12.9,22.8,17.7,8.3,1.4,4.3,9.8,14.6,,4.5,1.6,6.1,.167,,1.2,1.9,3.1,2.2
132,Alan Anderson,SG,32,BRK,74,1744,10.6,.563,.477,.230,2.0,11.1,6.6,7.3,1.7,0.2,11.0,14.3,,1.7,1.0,2.7,.073,,0.0,-0.6,-0.6,0.6
133,Mike Dunleavy,SF,34,CHI,60,1743,11.8,.580,.545,.182,1.7,12.6,7.3,9.9,1.0,0.9,10.5,14.2,,2.4,1.5,4.0,.109,,0.7,-0.3,0.5,1.1
134,Zach LaVine,PG,19,MIN,73,1739,10.3,.505,.233,.258,1.7,11.2,6.3,23.4,1.5,0.4,21.4,21.7,,-1.2,0.0,-1.2,-0.032,,-2.3,-2.5,-4.9,-1.3
135,Bojan Bogdanovic,SF,25,BRK,74,1731,10.9,.549,.442,.189,3.3,9.8,6.6,5.6,1.0,0.4,11.4,16.9,,1.3,0.6,1.8,.051,,-0.3,-1.8,-2.1,0.0
136,Patrick Beverley,PG,26,HOU,56,1727,11.3,.509,.607,.113,4.3,10.9,7.6,17.2,1.7,1.0,12.9,16.1,,1.7,1.7,3.4,.096,,0.5,0.3,0.8,1.2
137,Kyle Singler,SF,26,TOT,77,1722,8.6,.515,.536,.118,2.0,10.2,6.0,7.3,1.4,1.0,10.4,13.2,,0.9,1.1,2.0,.057,,-1.2,-0.2,-1.4,0.2
138,Dante Exum,PG,19,UTA,78,1716,5.9,.458,.631,.081,1.8,6.7,4.3,16.6,1.2,0.6,20.7,13.8,,-0.8,1.0,0.1,.003,,-2.4,-1.3,-3.7,-0.8
139,C.J. Miles,SG,27,IND,66,1702,13.1,.513,.537,.194,1.2,11.1,6.2,7.0,1.7,1.1,7.8,23.5,,0.8,2.1,2.8,.080,,0.4,-1.3,-0.9,0.5
140,Anthony Morrow,SG,29,OKC,70,1701,14.8,.606,.520,.147,2.5,8.5,5.6,5.3,1.4,0.5,5.8,16.6,,4.2,1.1,5.3,.150,,2.4,-1.9,0.6,1.1
141,Marcus Smart,PG,20,BOS,63,1687,10.6,.487,.576,.272,3.6,10.1,6.8,16.5,2.7,0.7,15.3,15.1,,0.5,1.9,2.4,.068,,-0.3,1.1,0.8,1.2
142,Quincy Pondexter,SF-SG,26,TOT,71,1684,10.4,.559,.535,.212,3.4,8.7,6.1,7.9,0.6,1.1,9.2,13.9,,2.2,0.7,3.0,.084,,0.7,-1.2,-0.6,0.6
143,Hollis Thompson,SG,23,PHI,68,1676,10.8,.537,.529,.169,3.1,9.6,6.2,8.2,1.7,1.3,10.7,15.6,,1.0,1.3,2.4,.068,,-1.4,-0.7,-2.0,0.0
144,Wayne Ellington,SG,27,LAL,65,1675,11.7,.504,.394,.104,2.0,12.2,6.9,10.2,1.0,0.1,7.2,18.5,,1.1,0.1,1.2,.035,,-0.3,-2.6,-2.9,-0.4
145,Mason Plumlee,C,24,BRK,78,1675,18.2,.576,.006,.652,11.1,21.6,16.4,6.8,1.9,3.0,14.2,19.1,,2.5,2.1,4.7,.134,,-0.4,1.3,0.9,1.2
146,Jason Smith,C,28,NYK,78,1668,11.7,.492,.069,.250,6.2,14.6,10.2,12.9,0.9,1.8,12.9,19.4,,0.4,0.5,1.0,.028,,-2.6,-1.2,-3.8,-0.8
147,Jerryd Bayless,PG,26,MIL,74,1666,11.6,.524,.233,.270,1.5,12.3,6.9,21.1,1.8,0.6,18.1,18.6,,0.6,1.9,2.5,.072,,-2.0,-0.4,-2.4,-0.2
148,Jared Dudley,SG,29,MIL,70,1662,12.7,.580,.452,.157,3.1,11.5,7.3,11.8,2.1,0.6,12.1,13.7,,2.1,1.9,4.1,.117,,0.4,0.4,0.8,1.2
149,Carlos Boozer,PF,33,LAL,69,1661,16.4,.517,.000,.204,6.6,25.0,15.5,10.4,1.3,0.5,10.2,23.7,,1.2,1.0,2.2,.063,,-1.7,-1.5,-3.2,-0.5
150,Steven Adams,C,21,OKC,66,1658,14.0,.557,.003,.483,11.8,19.6,15.8,5.9,1.1,3.7,17.6,14.5,,1.7,2.1,3.8,.111,,-1.5,1.9,0.4,1.0
151,Isaiah Thomas,PG,25,TOT,64,1653,20.5,.581,.430,.438,2.2,7.6,4.9,26.8,1.7,0.2,13.3,27.8,,4.8,1.0,5.8,.169,,4.6,-2.8,1.8,1.5
152,Tyler Zeller,C,25,BOS,78,1653,18.8,.594,.000,.307,9.1,20.4,14.7,10.8,0.5,2.4,10.3,19.6,,4.2,1.8,6.0,.173,,0.4,0.3,0.7,1.1
153,Devin Harris,PG,31,DAL,74,1651,14.5,.553,.512,.304,0.9,8.0,4.4,20.0,2.3,0.7,12.3,18.0,,2.7,1.3,4.0,.116,,1.8,-0.7,1.1,1.3
154,Zaza Pachulia,C,30,MIL,69,1651,15.7,.507,.006,.306,13.1,19.8,16.5,16.3,2.3,1.1,18.1,19.1,,1.3,2.6,3.9,.114,,-0.8,2.2,1.4,1.4
155,Tony Allen,SG,33,MEM,63,1648,14.6,.528,.064,.277,7.2,12.2,9.7,8.1,4.1,1.5,14.4,16.6,,0.9,3.2,4.1,.119,,-0.4,3.7,3.3,2.2
156,Nene Hilario,PF,32,WAS,65,1647,14.3,.533,.009,.342,5.6,17.0,11.4,12.1,2.1,1.1,15.3,21.9,,0.5,2.5,3.0,.087,,-1.9,1.4,-0.5,0.6
157,Evan Fournier,SG,22,ORL,57,1636,12.2,.541,.388,.255,1.8,8.5,5.1,11.5,1.2,0.1,11.2,19.6,,1.4,0.5,1.9,.055,,0.1,-2.3,-2.2,-0.1
158,Jamal Crawford,SG,34,LAC,61,1631,17.1,.536,.431,.306,1.2,7.0,4.2,14.9,1.7,0.7,8.7,27.9,,2.6,1.1,3.6,.107,,1.9,-2.8,-0.9,0.5
159,Taj Gibson,PF,29,CHI,59,1614,16.0,.539,.000,.359,10.8,14.7,12.8,7.1,1.1,3.1,11.3,17.8,,2.5,1.9,4.5,.133,,-0.6,1.0,0.4,1.0
160,Kirk Hinrich,SG,34,CHI,65,1604,6.8,.468,.441,.131,1.4,6.7,4.1,13.9,1.5,0.6,15.3,13.3,,-0.3,1.2,0.9,.028,,-2.3,-0.6,-2.9,-0.3
161,O.J. Mayo,SG,27,MIL,67,1601,13.4,.525,.398,.198,2.1,10.2,6.2,19.5,1.6,1.0,14.0,23.4,,0.9,1.6,2.5,.076,,0.0,-1.4,-1.4,0.3
162,Joe Ingles,SF,27,UTA,75,1593,10.1,.540,.576,.118,1.6,10.7,6.2,17.0,2.3,0.5,20.4,12.6,,0.8,1.6,2.3,.071,,-0.8,0.3,-0.5,0.6
163,Ryan Anderson,PF,26,NOP,57,1590,16.0,.527,.496,.213,7.5,12.7,10.1,5.6,1.1,0.8,7.3,23.6,,2.7,0.8,3.5,.105,,2.3,-3.1,-0.8,0.5
164,Luis Scola,PF,34,IND,77,1588,17.0,.517,.032,.338,9.2,25.7,17.5,11.3,1.5,0.8,11.2,22.9,,1.7,2.6,4.2,.128,,-1.3,0.7,-0.6,0.6
165,Michael Kidd-Gilchrist,SF,21,CHO,55,1587,15.1,.519,.000,.444,7.4,21.8,14.4,8.1,1.0,1.9,9.9,18.3,,1.6,2.3,3.9,.117,,-2.1,1.4,-0.7,0.5
166,Nikola Mirotic,PF,23,CHI,79,1583,17.7,.552,.492,.466,4.3,22.4,13.6,9.8,1.6,2.3,10.7,22.8,,2.8,2.5,5.3,.160,,0.9,-0.1,0.8,1.1
167,Jae Crowder,SF,24,TOT,79,1576,14.0,.522,.383,.254,4.9,14.7,9.7,8.7,2.1,1.2,7.7,17.4,,1.9,1.8,3.7,.113,,0.1,0.5,0.6,1.0
168,Lance Stephenson,SG,24,CHO,61,1573,8.8,.419,.191,.200,2.7,17.1,9.7,25.2,1.2,0.4,17.6,21.0,,-2.6,1.9,-0.7,-0.023,,-4.0,0.6,-3.4,-0.5
169,Dante Cunningham,PF,27,NOP,62,1572,8.7,.463,.028,.138,4.9,12.3,8.7,4.4,1.5,1.6,9.2,11.0,,0.3,1.1,1.3,.041,,-2.7,0.9,-1.8,0.1
170,Darren Collison,PG,27,SAC,45,1565,17.5,.575,.293,.335,1.4,8.7,5.2,27.3,2.2,0.7,15.1,20.9,,3.0,0.8,3.8,.117,,2.8,-1.3,1.5,1.4
171,Robin Lopez,C,26,POR,56,1561,16.3,.571,.002,.286,13.0,13.6,13.3,5.2,0.5,3.7,13.1,15.6,,3.0,1.9,5.0,.153,,0.1,2.1,2.2,1.6
172,Chris Bosh,C,30,MIA,44,1556,19.8,.548,.226,.311,3.6,20.1,12.0,12.0,1.4,1.4,10.1,28.5,,2.1,1.5,3.6,.111,,0.9,-1.0,-0.1,0.7
173,Tim Hardaway,SG,22,NYK,66,1552,11.9,.506,.489,.211,0.8,10.3,5.4,13.2,0.6,0.7,9.0,23.7,,0.7,-0.1,0.6,.019,,0.0,-4.3,-4.3,-0.9
174,Caron Butler,SF,34,DET,74,1542,8.7,.524,.539,.152,1.4,12.4,6.7,7.3,1.4,0.2,10.1,12.8,,1.0,1.0,2.0,.061,,-1.4,-0.4,-1.8,0.1
175,Jason Terry,SG,37,HOU,73,1536,11.2,.573,.725,.114,1.1,7.3,4.2,14.0,2.0,0.9,14.2,14.3,,1.7,1.4,3.2,.099,,0.0,-0.6,-0.6,0.5
176,Austin Rivers,PG-SG,22,TOT,74,1534,10.3,.479,.267,.259,1.9,8.9,5.4,15.0,1.6,0.7,10.6,17.9,,0.5,0.9,1.4,.045,,-1.7,-1.3,-2.9,-0.4
177,Manu Ginobili,SG,37,SAS,67,1527,16.4,.548,.435,.336,2.0,12.9,7.6,28.7,2.1,0.8,18.3,23.9,,1.5,2.2,3.7,.116,,1.5,0.2,1.7,1.4
178,Andrew Bogut,C,30,GSW,64,1525,16.0,.566,.000,.117,10.0,26.6,18.6,15.3,1.3,5.4,22.1,13.2,,1.8,3.3,5.2,.162,,-1.3,5.7,4.3,2.4
179,Alex Len,C,21,PHO,69,1518,13.5,.542,.008,.295,10.2,22.7,16.4,3.1,1.1,5.3,15.7,13.7,,1.3,2.2,3.4,.109,,-3.2,2.3,-0.9,0.4
180,Jared Sullinger,PF,22,BOS,54,1488,18.2,.507,.260,.179,10.4,21.1,15.6,13.8,1.4,1.9,9.0,23.6,,2.0,1.9,3.9,.124,,1.3,0.7,1.9,1.5
181,Cody Zeller,C,22,CHO,62,1487,14.1,.530,.003,.440,7.0,20.1,13.4,10.8,1.2,2.6,12.2,15.5,,1.7,2.2,3.9,.126,,-2.1,2.5,0.5,0.9
182,Steve Blake,PG,34,POR,79,1483,9.4,.504,.661,.117,1.2,8.3,4.8,26.0,1.3,0.2,23.1,13.1,,0.7,1.4,2.1,.067,,-1.3,-0.9,-2.2,-0.1
183,Trevor Booker,PF,27,UTA,76,1483,14.6,.526,.172,.299,10.4,18.7,14.6,8.9,1.5,2.0,14.6,17.9,,1.4,1.8,3.1,.101,,-0.9,0.7,-0.2,0.7
184,Derrick Rose,PG,26,CHI,48,1468,15.7,.494,.325,.223,2.7,8.3,5.6,30.1,1.1,0.8,15.0,31.7,,0.0,1.1,1.0,.034,,1.0,-2.5,-1.5,0.2
185,Iman Shumpert,SG,24,TOT,59,1454,11.5,.496,.420,.133,4.1,11.8,7.9,14.2,2.8,0.9,14.9,17.0,,0.2,1.3,1.5,.050,,-0.6,0.3,-0.3,0.6
186,Dennis Schroder,PG,21,ATL,74,1451,15.5,.511,.224,.280,2.3,9.6,6.1,34.9,1.7,0.2,16.8,26.7,,1.1,1.4,2.4,.080,,-0.5,-2.1,-2.6,-0.2
187,Rasual Butler,SF,35,WAS,72,1440,11.3,.533,.456,.136,2.0,12.5,7.4,6.6,0.9,1.2,8.4,18.0,,1.0,1.5,2.5,.083,,-0.8,-0.9,-1.8,0.1
188,Carmelo Anthony,SF,30,NYK,40,1428,21.6,.531,.222,.294,5.6,16.0,10.7,18.0,1.5,1.0,8.9,32.2,,2.3,0.6,2.9,.097,,3.6,-2.2,1.4,1.2
189,C.J. Watson,PG,30,IND,57,1422,15.4,.581,.420,.400,1.4,11.2,6.4,23.3,2.1,0.5,16.9,18.8,,2.2,1.8,4.0,.135,,1.4,0.2,1.6,1.3
190,Brandan Wright,PF,27,TOT,74,1421,20.5,.660,.006,.313,9.7,14.6,12.2,4.2,1.7,5.1,7.7,13.7,,4.3,1.8,6.0,.204,,1.2,2.4,3.6,2.0
191,Cory Joseph,PG,23,SAS,76,1408,15.5,.560,.102,.346,3.5,11.3,7.5,19.6,1.7,0.9,12.0,17.0,,2.6,1.8,4.4,.149,,0.2,0.6,0.8,1.0
192,Jameer Nelson,PG,32,TOT,63,1407,12.1,.503,.512,.071,2.5,8.9,5.7,28.0,1.7,0.3,17.3,19.6,,0.6,0.8,1.4,.047,,0.6,-1.6,-1.0,0.4
193,Shaun Livingston,PG,29,GSW,75,1403,12.8,.523,.005,.221,3.2,10.1,6.8,24.4,1.6,1.1,18.9,16.1,,1.3,1.8,3.1,.106,,-2.2,0.5,-1.7,0.1
194,Beno Udrih,PG,32,MEM,75,1389,15.6,.549,.203,.212,1.4,9.4,5.4,25.0,1.6,0.5,14.0,19.6,,1.9,1.5,3.4,.117,,0.2,-1.0,-0.8,0.4
195,Gerald Green,SG,29,PHO,71,1381,15.2,.528,.500,.151,2.6,11.6,7.1,10.9,1.5,0.7,11.2,28.4,,0.8,1.0,1.8,.063,,0.8,-3.1,-2.3,-0.1
196,Chris Kaman,C,32,POR,72,1378,17.3,.533,.000,.189,11.8,25.3,18.7,7.8,0.7,2.8,15.2,22.4,,1.1,2.2,3.3,.114,,-2.5,1.1,-1.3,0.2
197,Tayshaun Prince,SF,34,TOT,57,1378,12.1,.508,.169,.164,4.0,12.8,8.3,10.2,1.1,0.9,7.6,15.0,,1.3,1.2,2.5,.087,,-1.4,0.1,-1.3,0.2
198,Lance Thomas,PF-SF,26,TOT,58,1365,8.0,.451,.036,.231,5.0,10.4,7.7,7.2,1.3,0.5,13.1,17.4,,-0.9,0.4,-0.5,-0.018,,-4.4,-1.6,-5.9,-1.4
199,Kelly Olynyk,C,23,BOS,60,1360,15.8,.553,.325,.260,7.0,16.2,11.5,12.4,2.3,2.2,14.3,21.2,,1.4,1.9,3.2,.114,,0.6,1.3,1.9,1.3
200,Jodie Meeks,SG,27,DET,56,1355,13.4,.534,.396,.299,0.8,7.2,3.8,9.1,2.0,0.3,8.6,20.1,,1.7,0.8,2.6,.091,,0.2,-1.6,-1.5,0.2
201,Jordan Clarkson,PG,22,LAL,56,1349,16.5,.527,.199,.277,4.2,10.7,7.3,23.4,1.5,0.6,12.6,22.8,,1.8,0.3,2.1,.076,,1.2,-2.0,-0.8,0.4
202,Tony Snell,SF,23,CHI,69,1348,10.1,.551,.527,.154,2.5,10.4,6.5,6.6,1.2,0.5,10.9,14.0,,1.1,1.1,2.2,.079,,-0.7,-1.0,-1.7,0.1
203,Derrick Williams,PF,23,SAC,70,1344,12.3,.539,.327,.392,3.2,12.2,7.9,5.1,1.1,0.2,9.0,18.2,,1.4,0.4,1.8,.065,,-0.8,-2.7,-3.5,-0.5
204,K.J. McDaniels,SG,21,TOT,61,1343,10.6,.494,.347,.305,5.0,11.3,8.0,9.4,1.6,4.2,17.7,19.3,,-0.9,1.5,0.6,.020,,-3.8,1.2,-2.7,-0.2
205,J.J. Hickson,C,26,DEN,69,1336,14.2,.503,.005,.443,10.8,24.0,17.2,6.8,1.2,2.0,15.2,19.8,,0.3,1.4,1.7,.060,,-3.3,0.4,-2.8,-0.3
206,Marco Belinelli,SG,28,SAS,59,1335,12.4,.551,.487,.206,2.2,10.5,6.4,10.5,1.1,0.2,10.6,18.9,,1.4,1.3,2.8,.099,,0.6,-1.1,-0.6,0.5
207,James Johnson,PF,27,TOR,67,1333,18.2,.618,.122,.260,5.1,16.8,11.0,11.4,2.1,4.1,14.5,17.3,,2.5,1.6,4.1,.148,,0.8,2.2,3.0,1.7
208,Anthony Tolliver,PF,29,TOT,72,1332,11.0,.569,.740,.191,3.7,14.3,8.8,6.3,0.9,0.9,10.9,14.6,,1.7,0.9,2.5,.091,,0.4,-1.1,-0.7,0.4
209,Danilo Gallinari,SF,26,DEN,56,1323,15.5,.544,.541,.323,2.2,14.4,8.1,8.9,1.7,1.1,8.4,21.6,,2.1,1.0,3.1,.111,,1.6,-1.0,0.6,0.9
210,Henry Sims,C,24,PHI,70,1319,14.7,.526,.042,.278,8.8,19.5,13.9,10.7,1.4,1.6,15.0,20.7,,0.6,1.4,2.0,.074,,-3.2,-0.2,-3.4,-0.5
211,Omri Casspi,SF,26,SAC,64,1317,13.7,.573,.192,.414,4.6,15.5,10.3,11.1,1.1,0.5,15.1,18.2,,1.6,0.6,2.2,.082,,-0.4,-1.3,-1.7,0.1
212,Langston Galloway,PG,23,NYK,41,1317,11.8,.480,.346,.159,3.1,12.6,7.7,16.8,1.8,0.7,9.9,19.1,,0.4,0.5,0.9,.034,,-0.3,-1.2,-1.5,0.2
213,Otto Porter,SF,21,WAS,70,1316,11.9,.520,.257,.218,5.7,11.7,8.8,7.0,1.7,1.7,10.2,15.3,,1.0,1.7,2.7,.098,,-1.2,1.0,-0.3,0.6
214,Ray McCallum,PG,23,SAC,64,1308,11.9,.484,.248,.167,4.3,9.6,7.0,21.3,1.5,0.7,14.5,17.9,,0.5,0.5,1.0,.037,,-0.7,-1.4,-2.1,0.0
215,Kosta Koufos,C,25,MEM,77,1280,14.1,.531,.000,.234,10.1,25.4,17.8,4.4,1.2,4.0,15.5,15.8,,0.7,2.4,3.1,.116,,-3.4,2.1,-1.3,0.2
216,Jose Barea,PG,30,DAL,73,1279,15.1,.501,.315,.181,1.9,9.3,5.5,29.5,1.2,0.1,10.8,21.3,,1.9,0.6,2.5,.096,,1.0,-2.4,-1.4,0.2
217,Jerami Grant,SF,20,PHI,62,1274,9.0,.480,.431,.553,3.7,11.9,7.6,8.8,1.5,4.2,16.2,16.3,,-0.7,1.3,0.7,.026,,-4.3,1.1,-3.2,-0.4
218,Jose Calderon,PG,33,NYK,42,1270,11.3,.519,.401,.090,1.7,9.8,5.6,25.6,1.3,0.0,16.9,16.1,,0.8,0.1,0.8,.031,,-0.5,-2.6,-3.2,-0.4
219,Kris Humphries,PF,29,WAS,60,1268,15.5,.513,.014,.253,10.1,24.6,17.5,6.7,1.3,1.5,8.4,18.4,,1.5,2.1,3.6,.136,,-1.9,0.7,-1.2,0.2
220,Al-Farouq Aminu,SF,24,DAL,70,1249,14.3,.500,.364,.333,8.6,18.2,13.4,5.8,2.8,3.8,11.6,15.2,,1.0,2.0,3.0,.114,,-0.6,3.0,2.4,1.4
221,Kent Bazemore,SG,25,ATL,71,1249,9.7,.532,.395,.297,1.7,16.7,9.5,8.4,2.0,2.1,17.0,15.3,,-0.3,1.8,1.5,.057,,-3.0,1.4,-1.7,0.1
222,Jrue Holiday,PG,24,NOP,37,1247,18.6,.519,.251,.145,2.7,9.0,5.9,35.1,2.5,1.4,14.1,23.1,,2.1,1.0,3.1,.119,,2.8,-0.6,2.3,1.3
223,Matthew Dellavedova,SG,24,CLE,63,1244,8.2,.493,.561,.133,3.3,7.4,5.3,19.4,0.9,0.1,15.1,12.3,,1.3,0.5,1.7,.067,,-0.6,-1.9,-2.5,-0.2
224,Spencer Hawes,PF,26,LAC,70,1244,9.6,.472,.426,.158,2.8,20.1,11.6,10.0,0.9,3.4,12.1,17.9,,-0.5,1.5,1.0,.038,,-3.0,1.0,-2.0,0.0
225,Brian Roberts,PG,29,CHO,68,1240,11.1,.497,.413,.154,1.0,7.9,4.4,19.8,1.0,0.4,11.0,18.0,,0.5,1.1,1.6,.061,,-1.2,-1.8,-3.0,-0.3
226,Ersan Ilyasova,PF,27,MIL,54,1218,16.5,.542,.335,.193,7.2,17.4,12.4,7.3,1.4,1.3,6.7,22.2,,1.9,1.6,3.5,.137,,0.9,-1.4,-0.6,0.4
227,Andre Roberson,SG,23,OKC,63,1214,9.5,.526,.402,.254,5.2,16.2,10.8,7.5,2.1,1.8,17.6,9.1,,0.6,1.5,2.1,.083,,-1.7,2.2,0.4,0.7
228,Kevin Martin,SG,31,MIN,36,1212,16.9,.547,.310,.299,1.7,11.3,6.4,13.0,1.3,0.1,9.6,26.9,,1.9,-0.1,1.8,.072,,2.0,-3.8,-1.8,0.1
229,Kobe Bryant,SG,36,LAL,35,1207,17.7,.477,.258,.338,2.3,16.4,9.1,30.0,2.0,0.5,13.5,35.0,,-0.4,0.6,0.2,.007,,1.6,-1.3,0.4,0.7
230,Gary Neal,SG,30,TOT,54,1193,11.1,.483,.326,.268,1.3,11.0,6.0,14.4,1.0,0.1,10.4,23.8,,-0.2,0.8,0.6,.026,,-1.7,-2.5,-4.2,-0.7
231,Quincy Acy,PF,24,NYK,64,1190,12.2,.535,.176,.291,7.2,20.5,13.6,8.5,1.2,1.5,13.5,15.5,,1.0,0.7,1.6,.066,,-2.2,-0.7,-2.9,-0.3
232,Chase Budinger,SF,26,MIN,64,1188,12.2,.535,.374,.191,2.9,15.4,8.9,8.0,1.8,0.7,10.7,16.3,,0.9,0.3,1.2,.048,,-1.0,-1.7,-2.7,-0.2
233,Amar'e Stoudemire,PF,32,TOT,56,1183,20.2,.595,.009,.379,10.1,20.7,15.2,6.8,1.2,2.6,12.7,23.7,,2.3,1.0,3.3,.134,,-0.3,-1.2,-1.5,0.1
234,Andre Miller,PG,38,TOT,77,1180,13.0,.539,.120,.244,3.5,10.5,7.1,34.3,1.4,0.3,24.7,15.3,,1.1,0.8,1.9,.078,,-1.4,-1.7,-3.1,-0.3
235,Brandon Jennings,PG,25,DET,41,1173,19.7,.522,.389,.263,1.9,8.0,4.8,40.2,1.9,0.3,12.9,26.3,,2.6,0.7,3.3,.134,,4.3,-2.5,1.9,1.1
236,Marreese Speights,PF,27,GSW,73,1168,19.8,.551,.026,.272,10.1,18.6,14.5,10.0,0.7,2.2,10.0,28.9,,2.3,1.7,4.0,.165,,-1.0,-1.2,-2.3,-0.1
237,Kevin Seraphin,C,25,WAS,75,1166,12.8,.539,.005,.180,8.3,17.9,13.2,7.9,0.4,3.7,16.2,21.5,,0.2,1.6,1.8,.073,,-3.4,0.6,-2.8,-0.2
238,Jonas Jerebko,PF,27,TOT,71,1157,14.5,.548,.375,.183,7.8,17.0,12.2,8.6,1.7,1.2,9.6,15.9,,1.9,1.2,3.1,.129,,0.2,0.2,0.4,0.7
239,John Henson,C,24,MIL,63,1156,18.2,.579,.000,.392,11.9,17.5,14.7,7.8,1.2,8.9,17.4,18.4,,1.3,2.1,3.4,.141,,-1.7,4.3,2.5,1.3
240,Miles Plumlee,C,26,TOT,69,1153,13.2,.532,.000,.173,10.6,19.4,15.0,4.3,1.6,4.3,16.3,11.9,,0.8,1.6,2.4,.099,,-2.8,2.5,-0.2,0.5
241,Richard Jefferson,SF,34,DAL,70,1150,10.9,.566,.468,.336,2.2,14.4,8.3,6.9,1.4,0.8,12.2,15.0,,1.0,0.9,2.0,.082,,-0.5,-0.2,-0.8,0.3
242,Dwight Howard,C,29,HOU,38,1147,18.8,.590,.005,.616,9.9,28.5,19.1,7.5,1.1,3.1,17.4,23.3,,1.2,2.0,3.2,.133,,-2.5,1.0,-1.4,0.2
243,Bismack Biyombo,C,22,CHO,60,1121,15.8,.584,.000,.925,14.6,22.3,18.4,1.8,0.7,6.5,16.4,11.9,,1.8,2.1,3.9,.166,,-2.9,2.7,-0.2,0.5
244,Pablo Prigioni,PG,37,TOT,63,1116,12.1,.545,.736,.162,2.9,8.3,5.5,21.7,3.4,0.1,20.6,11.9,,1.0,0.9,1.9,.081,,-0.2,-0.6,-0.8,0.3
